FileName,real_PGV_UD_1,real_PGV_UD_2,real_PGV_UD_3,real_PGV_UD_4,real_PGV_UD_5,real_PGV_UD_6,real_PGV_UD_7,real_PGV_UD_8,real_PGV_UD_9,real_PGV_UD_10,real_PGV_UD_11,real_PGV_UD_12,real_PGV_UD_13,real_PGV_UD_14,real_PGV_UD_15,real_PGV_UD_16,real_PGV_UD_17,real_PGV_UD_18,real_PGV_UD_19,real_PGV_UD_20
AIC0101903090108,0.0342330937361516,0.0342330937361516,0.0342330937361516,0.0342330937361516,0.0342330937361516,0.0342330937361516,0.0342330937361516,0.0342330937361516,0.0342330937361516,0.0342330937361516,0.123028807607332,0.127589109996945,0.127589109996945,0.127589109996945,0.127589109996945,0.127589109996945,0.127589109996945,0.127589109996945,0.127589109996945,0.127589109996945
AIC0102009271313,0.210591231585702,0.210591231585702,0.210591231585702,0.210591231585702,0.210591231585702,0.210591231585702,0.41549432296153,0.66618956013936,0.66618956013936,0.66618956013936,0.66618956013936,0.66618956013936,0.66618956013936,0.66618956013936,0.66618956013936,0.66618956013936,0.66618956013936,0.66618956013936,0.66618956013936,0.66618956013936
AIC0102010190328,0.0118456626585004,0.0118456626585004,0.0118456626585004,0.0118456626585004,0.0118456626585004,0.0119248119147004,0.0128714205286441,0.013928183665231,0.013928183665231,0.0148856722184498,0.0841960326923374,0.0841960326923374,0.0845913568384805,0.0845913568384805,0.0845913568384805,0.0845913568384805,0.0845913568384805,0.0845913568384805,0.0845913568384805,0.0845913568384805
AIC0102102180358,0.0590323560327215,0.0590323560327215,0.0590323560327215,0.0590323560327215,0.0590323560327215,0.0590323560327215,0.0590323560327215,0.0590323560327215,0.0590323560327215,0.0590323560327215,0.0590323560327215,0.0590323560327215,0.0590323560327215,0.0590323560327215,0.0590323560327215,0.0590323560327215,0.0590323560327215,0.0590323560327215,0.0590323560327215,0.0590323560327215
AIC0102104050622,0.045253292571243,0.045253292571243,0.045253292571243,0.045253292571243,0.045253292571243,0.045253292571243,0.136439347790811,0.172901215392059,0.172901215392059,0.172901215392059,0.172901215392059,0.172901215392059,0.172901215392059,0.172901215392059,0.172901215392059,0.172901215392059,0.172901215392059,0.172901215392059,0.172901215392059,0.172901215392059
AIC0111903090108,0.218166248802769,0.218166248802769,0.218166248802769,0.218166248802769,0.218166248802769,0.218166248802769,0.218166248802769,0.26492859228516,0.350443047061698,0.350443047061698,0.350443047061698,0.350443047061698,0.350443047061698,0.350443047061698,0.350443047061698,0.350443047061698,0.350443047061698,0.350443047061698,0.350443047061698,0.350443047061698
AIC0112009271313,0.0776904998254135,0.0776904998254135,0.0776904998254135,0.0776904998254135,0.0776904998254135,0.0776904998254135,0.0776904998254135,0.0776904998254135,0.0776904998254135,0.0793448739759607,0.0950903062054634,0.0950903062054634,0.11902205661649,0.14717974030554,0.14717974030554,0.14717974030554,0.14717974030554,0.14717974030554,0.14717974030554,0.14717974030554
AIC0112010190328,0.0343013683277177,0.0637148452047178,0.0637148452047178,0.0637148452047178,0.0637148452047178,0.0637148452047178,0.13307687223939,0.183997614473075,0.183997614473075,0.183997614473075,0.183997614473075,0.183997614473075,0.183997614473075,0.183997614473075,0.183997614473075,0.183997614473075,0.183997614473075,0.183997614473075,0.183997614473075,0.183997614473075
AIC0112102180358,0.0402000490263287,0.0469804090540172,0.0469804090540172,0.0469804090540172,0.0469804090540172,0.0469804090540172,0.136911221161307,0.376763221899736,0.376763221899736,0.376763221899736,0.376763221899736,0.376763221899736,0.376763221899736,0.376763221899736,0.376763221899736,0.376763221899736,0.376763221899736,0.376763221899736,0.376763221899736,0.376763221899736
AIC0121903090108,0.0313638517979291,0.0313638517979291,0.0313638517979291,0.0313638517979291,0.0313638517979291,0.0313638517979291,0.0313638517979291,0.0313638517979291,0.0400057340403611,0.0763404975314604,0.0763404975314604,0.0763404975314604,0.0763404975314604,0.0763404975314604,0.0763404975314604,0.0763404975314604,0.0763404975314604,0.0763404975314604,0.0763404975314604,0.0763404975314604
