FileName,real_iv2_total_1,real_iv2_total_2,real_iv2_total_3,real_iv2_total_4,real_iv2_total_5,real_iv2_total_6,real_iv2_total_7,real_iv2_total_8,real_iv2_total_9,real_iv2_total_10,real_iv2_total_11,real_iv2_total_12,real_iv2_total_13,real_iv2_total_14,real_iv2_total_15,real_iv2_total_16,real_iv2_total_17,real_iv2_total_18,real_iv2_total_19,real_iv2_total_20
KGS0311911020038,0.000492206847559619,0.000757914635286488,0.00109296190655109,0.00153279446323254,0.0226167032382764,0.0281635483719195,0.0303705474684871,0.032560333060848,0.0341519618878959,0.0357600147318198,0.0365848387870228,0.0372224996264388,0.0376261400081991,0.0380264746337933,0.0383117137280465,0.0385462270575522,0.0388521517730707,0.0389695988804975,0.0391290355480552,0.0392296983271328
KGS0311912201831,0.0040935020035244,0.00486700784553628,0.00534489395332667,0.0056501641648159,0.0256163958397687,0.0502349237378231,0.0555505166601667,0.0594743302499423,0.0618082027612434,0.0631264448663081,0.0638782392713478,0.0647591844101298,0.0653944016650604,0.066007040578963,0.066388530389681,0.0665687377624437,0.0667147561446408,0.0668226067347029,0.0669079023334701,0.066986524858151
KGS0311912290056,0.000635407570982278,0.000956226919640341,0.00125742726832774,0.00168912464532172,0.00983490703542986,0.0241874254900633,0.0291297021217046,0.0316505165863677,0.0333714008388754,0.0346763642912781,0.035124011826036,0.0357068360418,0.0362340530958598,0.03655657928937,0.0367505821021798,0.0369080325825201,0.037048396420343,0.0371246971992985,0.0371987523754497,0.0372487347786448
KGS0312004041255,0.000730229747704178,0.00184299677393578,0.00276538645738777,0.00346421837339456,0.00405245311042496,0.00477694352884618,0.00547628914226781,0.00602498345367511,0.0179525640046413,0.0344968768690646,0.0405804691926303,0.0440245610150301,0.0460140234901796,0.047270906338463,0.0483171112379455,0.0488145812308639,0.0493820429523605,0.0500882081888811,0.050439037532673,0.050902459401735
KGS0312004240619,0.00199170744620485,0.00271577191739171,0.00296850180117359,0.00785188923614698,0.0210734272985851,0.0227015472743934,0.0238806013370231,0.0244011246899086,0.0253177070381132,0.0259775753142556,0.0262976771370159,0.0265863850479981,0.0268044061640224,0.0269340288471189,0.0270314965183648,0.0271391063116687,0.0272134028170779,0.0273093417438528,0.0273704727002484,0.0274163690814697
KGS0312005191845,0.000762806858313326,0.00203084367666294,0.00277010780487962,0.00344746495288854,0.00420287072353647,0.00474845096720253,0.0056184806918026,0.0202432024129126,0.0454071899025456,0.0532416150660233,0.059147254048584,0.0625788767331494,0.064418539342593,0.0666694647124595,0.0681244559125248,0.0692031291825151,0.0698101711189507,0.0702268130975811,0.0708745813444262,0.0711895118100087
KGS0312006122203,0.000246297220465847,0.0005302283460382,0.000731676519245529,0.000891270536443349,0.00115287458665053,0.00134593157454258,0.00161516367255938,0.0120996272968035,0.0234849692890783,0.0252334475164318,0.0264134360446527,0.027085745017084,0.027651687598816,0.0281320062475359,0.0284867479990245,0.02869342849171,0.0289659915600796,0.0291280390687486,0.0292712278447747,0.0294239450668523
KGS0312006140051,0.000655481127323778,0.00229835244605421,0.0093028424226282,0.0174196234849652,0.0295536314242729,0.0522882956959684,0.0639433902794796,0.0765148862880567,0.0941197039745494,0.108511780725506,0.118071862743918,0.129262875080636,0.142518814438355,0.15630229840118,0.170177503961556,0.181830380733443,0.195113865936413,0.207876624912271,0.216612918817382,0.22708457985889
KGS0321901081001,0.000125360828384103,0.000352143403228767,0.000514199313985069,0.000792943793155336,0.00944838837451369,0.0165434871836126,0.0185830610935434,0.0198350357896005,0.0206066901598606,0.021122786077476,0.0213981125320688,0.0215633119844602,0.0216996122004463,0.0218120952049692,0.0219377217367481,0.022008436793668,0.0220661212277234,0.022126014399528,0.0221723310607305,0.0222121996989947
KGS0321902101434,0.0170237250594928,0.0223323921838203,0.0285654116242657,0.0321763071726041,0.0449257856511044,1.13285553100461,1.42664864604316,1.52671807223887,1.56564302137385,1.60002624285053,1.64362440872139,1.66709830252685,1.67943398469308,1.68990072850031,1.69572320677564,1.70305946744539,1.70654349281661,1.70945601183052,1.71086979012361,1.71283939837147
