FileName,instrumental_intensity
CHB0262003301715,1.86
CHB0262004120044,1.46
CHB0262005042207,2.42
CHB0262005060157,2.52
CHB0262006250447,3.04
CHB0262007011825,1.59
CHB0262008131135,1.34
CHB0271905251520,2.38
CHB0271906010758,1.9
CHB0271906200155,0.94
CHB0271906240911,2.44
CHB0271907250714,2.28
CHB0271910121822,2.23
CHB0271912160414,1.13
CHB0272005042207,1.7
CHB0272006160827,0.74
CHB0272006250447,2.15
CHB0272007011825,1.07
CHB0272008100924,0.46
CHB0272008131135,0.67
CHB0272009201948,0.78
CHB0272103280927,1.24
CHB0281901141323,2.3
CHB0281901182146,2.16
CHB0281905251520,2.66
CHB0281906081246,1.52
CHB0281906170800,2.29
CHB0281906240911,2.51
CHB0281910090458,2.02
CHB0281911220523,1.52
CHB0282001140453,2.13
CHB0282002010111,1.41
CHB0282002010207,3.11
CHB0282002171240,1.62
CHB0282002201253,0.79
CHB0282004120044,2.7
CHB0282004240138,1.15
CHB0282004260949,2.99
CHB0282005042207,2.15
CHB0282005060157,2.82
CHB0282006010602,1.87
CHB0282006160827,1.36
CHB0282006250447,2.86
CHB0282007090605,2.55
CHB0282007290533,1.4
CHB0282008100924,0.9
CHB0282008301437,1.91
CHB0282010281558,2.17
CHB0282011251120,1.95
CHB0282012171642,2.13
CHB0282012300935,2.8
CHB0282102061410,1.7
CHB0282103041122,0.87
CHB0282103160456,2.52
CHB0282105141837,1.25
CHB0282105240409,2.08
CHB0282106091727,1.52
CHB0291901141323,1.91
CHB0291901182146,2.43
CHB0291905251520,2.81
CHB0291906010758,1.83
CHB0291906081246,0.42
CHB0291906170800,1.61
CHB0291906240911,2.24
CHB0291910090458,1.66
CHB0291911220523,1.23
CHB0291912031018,1.38
CHB0292001030324,1.96
CHB0292001140453,2.06
CHB0292002010207,3.13
CHB0292002171240,1.09
CHB0292004120044,2.72
CHB0292004260949,2.8
CHB0292005042207,2.06
CHB0292005060157,3.05
CHB0292006250447,2.97
CHB0292007090605,2.38
CHB0292010281558,2.56
CHB0292012171642,1.67
CHB0292012300935,1.97
CHB0292102061410,2.51
CHB0292103160456,2.11
EHM0011903131348,1.2
EHM0011911261509,1.31
EHM0012107172050,0.87
EHM0012107181435,1.52
EHM0021911261509,1.35
EHM0022106190739,0.75
EHM0031911261509,2.56
EHM0032106190739,2.25
EHM0032107080124,1.49
EHM0042106190739,2.17
EHM0042107080124,1.57
EHM0042107172050,1.92
EHM0051903111537,2.6
EHM0051910070802,1.28
EHM0051911261509,0.98
EHM0052003090428,1.28
EHM0052102231609,0.79
EHM0052107080124,1.24
EHM0052107172050,0.99
EHM0061910070802,1.04
EHM0061911261509,1.05
EHM0062106190739,1.88
EHM0062107080124,1.3
EHM0071903111537,2.17
EHM0071910070802,2.21
EHM0071911261509,2.24
EHM0072003090428,1.99
EHM0072106190739,2.03
EHM0072107080124,1.67
EHM0072107172050,1.53
EHM0081910070802,1.72
EHM0081911261509,1.58
EHM0082003090428,1.89
EHM0082102231609,1.74
EHM0082106190739,1.96
EHM0082107080124,1.75
EHM0082107172050,1.78
EHM0091903111537,2.49
EHM0091910070802,1.73
EHM0091911261509,0.98
EHM0092003090428,1.76
EHM0092102231609,1.31
EHM0092106190739,2.64
EHM0092107080124,1.37
EHM0092107172050,1.38
EHM0101903111537,1.98
